subj_idx,A_B,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch,,A_match,A_mismatch,B_match,B_mismatch,,A_self,A_friend,A_stranger,B_self,B_friend,B_stranger
1,A,0.981481481,0.981481481,0.925925926,0.944444444,0.916666667,0.888888889,,0.962962963,0.916666667,0.805555556,0.830246914,,0.949074074,0.962962963,0.907407408,0.895833334,0.814814815,0.743055556
2,A,0.972222222,0.925925926,0.935185185,0.638888889,0.916666667,0.916666667,,0.944444444,0.824074074,0.861111111,0.898148148,,0.921296297,0.805555556,0.925925926,0.9375,0.842592593,0.858796296
3,A,0.981481481,0.990740741,0.898148148,0.916666667,0.944444444,0.986111111,,0.956790123,0.949074074,0.662037037,0.805555556,,0.967592593,0.949074074,0.94212963,0.678240741,0.724537037,0.798611111
4,A,0.944444444,0.851851852,0.944444444,0.805555556,0.833333333,0.930555556,,0.913580247,0.856481482,0.75462963,0.891975309,,0.842592593,0.875,0.9375,0.918981482,0.787037037,0.763888889
5,A,0.898148148,0.824074074,0.944444444,0.652777778,0.763888889,0.680555556,,0.888888889,0.699074074,0.708333333,0.845679012,,0.793981482,0.775462963,0.8125,0.831018519,0.770833334,0.729166667
6,A,0.925925926,0.907407407,0.935185185,0.777777778,0.875,0.805555556,,0.922839506,0.819444445,0.893518518,0.953703703,,0.891203704,0.851851852,0.870370371,0.939814815,0.930555556,0.900462963
7,A,0.796296296,0.935185185,0.592592593,0.555555556,0.666666667,0.791666667,,0.774691358,0.671296297,0.814814815,0.827160494,,0.800925926,0.675925926,0.69212963,0.914351852,0.793981482,0.75462963
8,A,1,0.972222222,0.962962963,0.986111111,0.972222222,0.958333333,,0.978395062,0.972222222,0.819444444,0.901234568,,0.972222222,0.993055556,0.960648148,0.877314815,0.773148148,0.930555556
9,A,0.935185185,0.907407407,0.898148148,0.861111111,0.847222222,0.819444444,,0.913580247,0.842592592,0.907407407,0.935185185,,0.877314815,0.898148148,0.858796296,0.94212963,0.916666667,0.905092593
10,A,0.944444444,0.962962963,0.962962963,0.833333333,0.652777778,0.75,,0.956790123,0.74537037,0.912037037,0.938271605,,0.807870371,0.888888889,0.856481482,0.981481482,0.953703704,0.840277778
11,A,0.851851852,0.907407407,0.796296296,0.916666667,0.958333333,0.902777778,,0.851851852,0.925925926,0.763888889,0.891975309,,0.93287037,0.88425926,0.849537037,0.847222222,0.87962963,0.756944445
12,A,0.907407407,0.925925926,0.935185185,0.805555556,0.611111111,0.902777778,,0.922839506,0.773148148,0.541666667,0.848765432,,0.768518519,0.856481482,0.918981482,0.719907408,0.796296296,0.569444445
13,A,0.916666667,0.981481481,0.842592593,0.930555556,0.833333333,0.805555556,,0.913580247,0.856481482,0.930555556,0.904320987,,0.907407407,0.923611112,0.824074075,0.946759259,0.900462963,0.905092593
14,A,0.861111111,0.990740741,0.990740741,0.805555556,0.958333333,0.972222222,,0.947530864,0.912037037,0.893518518,0.947530864,,0.974537037,0.833333334,0.981481482,0.953703704,0.902777778,0.905092593
15,A,0.962962963,0.962962963,0.842592593,0.638888889,0.875,0.833333333,,0.922839506,0.782407407,0.828703704,0.861111111,,0.918981482,0.800925926,0.837962963,0.891203704,0.865740741,0.777777778
16,A,0.953703704,1,0.898148148,0.902777778,0.833333333,0.902777778,,0.950617284,0.87962963,0.810185185,0.839506173,,0.916666667,0.928240741,0.900462963,0.854166667,0.835648148,0.784722222
17,A,0.824074074,0.796296296,0.787037037,0.680555556,0.722222222,0.736111111,,0.802469136,0.712962963,0.87962963,0.842592593,,0.759259259,0.752314815,0.761574074,0.935185185,0.863425926,0.784722223
18,A,0.777777778,0.925925926,0.814814815,0.847222222,0.833333333,0.819444444,,0.839506173,0.833333333,0.810185185,0.901234568,,0.87962963,0.8125,0.81712963,0.914351852,0.840277778,0.8125
19,A,0.796296296,0.87962963,0.925925926,0.875,0.958333333,0.861111111,,0.867283951,0.898148148,0.805555555,0.827160494,,0.918981482,0.835648148,0.893518519,0.884259259,0.793981482,0.770833333
20,A,0.944444444,0.953703704,0.925925926,0.888888889,0.861111111,0.861111111,,0.941358025,0.87037037,0.583333333,0.811728395,,0.907407408,0.916666667,0.893518519,0.611111111,0.819444445,0.662037038
21,A,0.861111111,0.953703704,0.787037037,0.805555556,0.861111111,0.902777778,,0.867283951,0.856481482,0.773148148,0.888888889,,0.907407408,0.833333334,0.844907408,0.782407408,0.962962963,0.747685186
22,A,0.861111111,0.972222222,0.953703704,0.791666667,0.666666667,0.833333333,,0.929012346,0.763888889,0.800925926,0.820987654,,0.819444445,0.826388889,0.893518519,0.6875,0.902777778,0.842592593
23,A,0.916666667,0.833333333,0.675925926,0.777777778,0.861111111,0.875,,0.808641975,0.837962963,0.930555556,0.904320988,,0.847222222,0.847222223,0.775462963,0.949074074,0.877314815,0.925925926
24,A,0.972222222,1,0.814814815,0.777777778,0.680555556,0.805555556,,0.929012346,0.75462963,0.925925926,0.944444444,,0.840277778,0.875,0.810185186,0.949074074,0.953703704,0.902777778
25,A,0.833333333,0.990740741,0.898148148,0.861111111,0.819444444,0.875,,0.907407407,0.851851852,0.935185185,0.981481481,,0.905092593,0.847222222,0.886574074,0.956018519,0.981481482,0.9375
26,A,0.916666667,0.907407407,0.666666667,0.666666667,0.75,0.777777778,,0.830246914,0.731481482,,,,0.828703704,0.791666667,0.722222223,,,
1,B,0.777777778,0.986111111,0.652777778,0.851851852,0.805555556,0.833333333,,,,,,,,,,,,
2,B,0.805555556,0.958333333,0.819444444,0.87962963,0.916666667,0.898148148,,,,,,,,,,,,
3,B,0.652777778,0.513888889,0.819444444,0.796296296,0.842592593,0.777777778,,,,,,,,,,,,
4,B,0.694444444,0.930555556,0.638888889,0.87962963,0.907407407,0.888888889,,,,,,,,,,,,
5,B,0.736111111,0.791666667,0.597222222,0.805555556,0.87037037,0.861111111,,,,,,,,,,,,
6,B,0.888888889,0.972222222,0.819444444,0.972222222,0.907407407,0.981481481,,,,,,,,,,,,
7,B,0.819444444,0.930555556,0.694444444,0.768518519,0.898148148,0.814814815,,,,,,,,,,,,
8,B,0.694444444,0.847222222,0.916666667,0.851851852,0.907407407,0.944444444,,,,,,,,,,,,
9,B,0.916666667,0.958333333,0.847222222,0.916666667,0.925925926,0.962962963,,,,,,,,,,,,
10,B,0.972222222,1,0.763888889,0.935185185,0.962962963,0.916666667,,,,,,,,,,,,
11,B,0.833333333,0.833333333,0.625,0.925925926,0.861111111,0.888888889,,,,,,,,,,,,
12,B,0.694444444,0.625,0.305555556,0.898148148,0.814814815,0.833333333,,,,,,,,,,,,
13,B,0.930555556,0.986111111,0.875,0.87037037,0.907407407,0.935185185,,,,,,,,,,,,
14,B,0.861111111,0.944444444,0.875,0.944444444,0.962962963,0.935185185,,,,,,,,,,,,
15,B,0.833333333,0.930555556,0.722222222,0.898148148,0.851851852,0.833333333,,,,,,,,,,,,
16,B,0.875,0.819444444,0.736111111,0.796296296,0.888888889,0.833333333,,,,,,,,,,,,
17,B,0.875,0.972222222,0.791666667,0.851851852,0.898148148,0.777777778,,,,,,,,,,,,
18,B,0.791666667,0.930555556,0.708333333,0.888888889,0.898148148,0.916666667,,,,,,,,,,,,
19,B,0.763888889,0.944444444,0.708333333,0.824074074,0.824074074,0.833333333,,,,,,,,,,,,
20,B,0.833333333,0.361111111,0.555555556,0.805555556,0.861111111,0.768518519,,,,,,,,,,,,
21,B,1,0.666666667,0.652777778,0.925925926,0.898148148,0.842592593,,,,,,,,,,,,
22,B,0.944444444,0.541666667,0.916666667,0.861111111,0.833333333,0.768518519,,,,,,,,,,,,
23,B,0.930555556,0.944444444,0.916666667,0.824074074,0.953703704,0.935185185,,,,,,,,,,,,
24,B,0.972222222,0.944444444,0.861111111,0.935185185,0.953703704,0.944444444,,,,,,,,,,,,
25,B,0.972222222,0.930555556,0.902777778,0.990740741,0.981481481,0.972222222,,,,,,,,,,,,
