"subj_idx","朋友_match_friend","生人_match_friend","自我_match_friend","朋友_match_self","生人_match_self","自我_match_self","朋友_match_stranger","生人_match_stranger","自我_match_stranger","朋友_mismatch_friend","生人_mismatch_friend","自我_mismatch_friend","朋友_mismatch_self","生人_mismatch_self","自我_mismatch_self","朋友_mismatch_stranger","生人_mismatch_stranger","自我_mismatch_stranger"
1,0.8833333333333333,0.8166666666666667,0.9333333333333333,0.9666666666666667,0.85,0.9666666666666667,0.85,0.8833333333333333,0.9666666666666667,0.7666666666666667,0.7833333333333333,0.8,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.9666666666666667,0.7833333333333333,0.9166666666666666
3,0.9,0.8833333333333333,0.75,0.8666666666666667,0.6,0.9333333333333333,0.85,0.9,0.9,0.7333333333333333,0.9666666666666667,0.8833333333333333,0.6,0.8833333333333333,0.7666666666666667,0.8333333333333334,0.8333333333333334,0.9166666666666666
5,0.9333333333333333,0.8833333333333333,0.6666666666666666,0.85,0.8833333333333333,0.8166666666666667,0.9,0.8333333333333334,0.7,0.8,0.6833333333333333,0.7666666666666667,0.7,0.6833333333333333,0.7,0.7333333333333333,0.7666666666666667,0.75
6,1,0.85,0.95,0.9833333333333333,0.8666666666666667,1,0.9833333333333333,0.9166666666666666,1,0.85,0.7833333333333333,0.85,0.95,0.9666666666666667,0.95,0.8666666666666667,0.7833333333333333,0.8333333333333334
7,0.9833333333333333,0.8833333333333333,0.9833333333333333,0.9666666666666667,0.8833333333333333,0.9833333333333333,0.8666666666666667,0.9,0.9666666666666667,0.7166666666666667,0.8,0.8666666666666667,0.75,0.9166666666666666,0.8166666666666667,0.7833333333333333,0.9166666666666666,0.85
9,0.9,0.9,0.95,0.95,0.9666666666666667,1,0.9833333333333333,0.9833333333333333,0.9333333333333333,0.85,0.9166666666666666,0.8166666666666667,0.9666666666666667,0.9833333333333333,0.8333333333333334,0.9333333333333333,0.9333333333333333,0.9666666666666667
10,0.9166666666666666,0.7666666666666667,0.9,0.8833333333333333,0.8333333333333334,0.8833333333333333,0.8333333333333334,0.85,0.9166666666666666,0.55,0.95,0.9,0.8166666666666667,0.9,0.6,0.75,0.5166666666666667,0.9333333333333333
11,0.95,0.9,0.9166666666666666,1,0.8,0.9166666666666666,0.9333333333333333,0.9333333333333333,0.8833333333333333,0.7833333333333333,0.8,0.8666666666666667,0.8666666666666667,0.9833333333333333,0.8333333333333334,0.95,0.7333333333333333,0.9
15,0.9,0.9166666666666666,0.9166666666666666,0.8666666666666667,0.9833333333333333,1,0.9833333333333333,0.9166666666666666,0.9833333333333333,0.6166666666666667,0.8666666666666667,0.9333333333333333,0.9,1,0.8,0.95,0.8666666666666667,0.9166666666666666
16,0.95,0.9333333333333333,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.95,0.9,0.8833333333333333,0.8166666666666667,0.9666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.7,0.85,0.75,0.7833333333333333
19,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.95,0.7666666666666667,0.95,0.8166666666666667,0.95,0.9833333333333333,0.8833333333333333,0.9666666666666667,0.9833333333333333,0.9166666666666666,0.95,1,0.8833333333333333,0.9166666666666666,0.9333333333333333
20,0.9166666666666666,0.6333333333333333,0.7333333333333333,0.9,0.7333333333333333,0.95,0.8166666666666667,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.9166666666666666,0.9,0.65,0.95,0.7166666666666667,0.95
21,0.9833333333333333,1,0.95,0.7166666666666667,0.9,0.9833333333333333,0.95,0.9666666666666667,0.9833333333333333,0.7833333333333333,0.9666666666666667,0.8833333333333333,0.9333333333333333,0.9,0.6333333333333333,0.9666666666666667,1,0.95
22,0.8833333333333333,0.9333333333333333,0.9,0.9,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8833333333333333,0.7833333333333333,0.9666666666666667,0.9666666666666667,0.8,0.7666666666666667,1,0.5,0.9333333333333333
23,0.9666666666666667,0.75,0.9833333333333333,0.8166666666666667,0.95,0.9,0.8333333333333334,0.9833333333333333,0.9666666666666667,0.7166666666666667,0.9666666666666667,0.95,0.7,0.85,0.9166666666666666,0.8,0.8666666666666667,0.9666666666666667
24,0.9833333333333333,0.9166666666666666,1,0.8833333333333333,0.9166666666666666,1,0.9666666666666667,0.9166666666666666,1,0.8666666666666667,0.9166666666666666,1,0.9333333333333333,0.9833333333333333,0.85,0.9666666666666667,0.8833333333333333,0.9666666666666667
25,0.95,0.8333333333333334,1,0.95,0.9833333333333333,0.9666666666666667,0.95,0.9833333333333333,0.9666666666666667,0.9,0.9333333333333333,0.9666666666666667,0.9666666666666667,1,0.9,0.9833333333333333,0.8833333333333333,0.9666666666666667
26,1,0.9333333333333333,1,0.9833333333333333,0.9166666666666666,0.9833333333333333,0.9,0.9333333333333333,0.9333333333333333,0.7666666666666667,1,1,0.9833333333333333,0.9333333333333333,0.8333333333333334,0.9666666666666667,0.8666666666666667,0.9
29,0.8833333333333333,0.9333333333333333,0.85,0.8833333333333333,1,0.9333333333333333,0.9166666666666666,0.9333333333333333,0.85,0.5,0.9,0.9166666666666666,0.6833333333333333,0.7,0.5,0.7666666666666667,0.5166666666666667,0.6666666666666666
30,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.95,0.9166666666666666,0.95,0.9833333333333333,0.9666666666666667,0.9,0.8833333333333333,0.9833333333333333,0.9,0.9666666666666667,0.9666666666666667,0.85,0.9833333333333333,0.8833333333333333,0.9166666666666666
33,0.9333333333333333,0.85,0.9,0.8833333333333333,0.9833333333333333,0.9666666666666667,0.95,0.9666666666666667,0.85,0.65,0.9166666666666666,0.75,1,0.75,0.7833333333333333,0.9666666666666667,0.7666666666666667,0.8666666666666667
37,0.9666666666666667,0.8333333333333334,1,0.85,0.8333333333333334,0.85,0.9833333333333333,0.8333333333333334,0.9666666666666667,0.7166666666666667,0.7166666666666667,0.7833333333333333,0.8833333333333333,0.9166666666666666,0.7166666666666667,0.95,0.7166666666666667,1
39,0.9,0.8,0.95,0.7666666666666667,0.9166666666666666,0.9666666666666667,0.6333333333333333,0.9833333333333333,1,0.8,0.85,0.8833333333333333,0.9333333333333333,0.8333333333333334,0.8,0.7166666666666667,0.7833333333333333,0.8666666666666667
40,1,0.9166666666666666,0.9666666666666667,0.95,0.9333333333333333,0.8833333333333333,0.9166666666666666,0.9333333333333333,0.9333333333333333,0.85,0.9,0.9166666666666666,1,0.9333333333333333,0.7666666666666667,0.9833333333333333,0.7333333333333333,0.8166666666666667
42,0.9833333333333333,0.8,0.9833333333333333,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.9,0.8833333333333333,0.95,0.95,0.65,0.8833333333333333,0.8666666666666667,0.6666666666666666,0.8666666666666667,0.9666666666666667,0.6666666666666666,0.7833333333333333
44,0.8666666666666667,0.9333333333333333,0.9,0.9833333333333333,0.7666666666666667,0.85,0.9666666666666667,0.8833333333333333,0.95,0.8166666666666667,0.9666666666666667,1,0.9333333333333333,0.95,0.8666666666666667,0.9166666666666666,0.8666666666666667,0.8833333333333333
45,0.9,0.85,0.9833333333333333,0.9166666666666666,0.85,0.9333333333333333,0.9166666666666666,0.95,0.85,0.7833333333333333,0.95,0.9333333333333333,0.95,0.95,0.85,0.9833333333333333,0.55,0.9833333333333333
46,0.9833333333333333,0.8333333333333334,0.8666666666666667,0.9666666666666667,0.8833333333333333,0.9666666666666667,1,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9,0.9,0.95,0.8833333333333333,0.6666666666666666,1,0.8666666666666667,0.85
49,0.9166666666666666,0.9,0.8166666666666667,0.8833333333333333,0.95,0.9333333333333333,0.9166666666666666,0.9666666666666667,0.8666666666666667,0.8166666666666667,0.8,0.9833333333333333,0.9666666666666667,0.8666666666666667,0.8333333333333334,0.9333333333333333,0.8166666666666667,0.8833333333333333
53,1,0.9666666666666667,0.9,0.9333333333333333,0.9,1,0.9666666666666667,1,0.9333333333333333,0.7,0.8166666666666667,0.9,0.75,0.6333333333333333,0.08333333333333333,0.8,0.4166666666666667,0.8666666666666667
54,0.85,0.7833333333333333,0.8333333333333334,0.85,0.8333333333333334,0.9,0.9166666666666666,0.9,0.8666666666666667,0.75,0.7166666666666667,0.8833333333333333,0.8666666666666667,0.8333333333333334,0.7,0.8833333333333333,0.6833333333333333,0.8833333333333333
55,0.9833333333333333,0.8833333333333333,0.95,0.9166666666666666,0.8333333333333334,1,0.9,0.9833333333333333,0.9333333333333333,0.7666666666666667,0.9333333333333333,0.8666666666666667,0.8,0.9166666666666666,0.8,0.9333333333333333,0.9,0.9333333333333333
56,0.85,0.8833333333333333,0.8833333333333333,0.95,0.7166666666666667,0.8833333333333333,0.8166666666666667,0.9,0.75,0.7,0.95,0.8833333333333333,0.75,0.9333333333333333,0.7666666666666667,0.7333333333333333,0.8,0.9
58,0.8166666666666667,0.5333333333333333,0.9166666666666666,0.3333333333333333,0.6666666666666666,0.7833333333333333,0.75,0.7666666666666667,0.8,0.7,0.8166666666666667,0.48333333333333334,0.7,0.8833333333333333,0.7166666666666667,0.7833333333333333,0.5666666666666667,0.55
59,0.9833333333333333,0.95,0.95,0.8666666666666667,0.9333333333333333,0.95,0.9166666666666666,1,0.9833333333333333,0.85,0.9333333333333333,0.9333333333333333,0.9,0.7666666666666667,0.8333333333333334,0.95,0.8166666666666667,1
61,0.9833333333333333,0.85,0.85,0.9333333333333333,0.7666666666666667,0.9,0.9833333333333333,0.95,0.9,0.7833333333333333,0.9,0.95,0.9833333333333333,0.9666666666666667,0.7833333333333333,0.85,0.7833333333333333,0.95
64,0.9166666666666666,0.8666666666666667,0.9,0.9666666666666667,0.9166666666666666,0.9333333333333333,0.9,0.95,0.7833333333333333,0.95,0.9333333333333333,0.9833333333333333,0.95,0.95,0.8166666666666667,0.9666666666666667,0.9,0.9833333333333333
67,0.9166666666666666,0.8833333333333333,0.95,0.9166666666666666,0.8,0.9666666666666667,0.75,0.9166666666666666,1,0.8,0.8666666666666667,0.9333333333333333,0.95,0.9,0.9166666666666666,0.9,0.8166666666666667,0.8833333333333333
68,0.9833333333333333,0.9833333333333333,0.9166666666666666,0.9833333333333333,0.95,0.9666666666666667,0.9666666666666667,1,0.95,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9166666666666666,0.8166666666666667,0.9333333333333333,0.9833333333333333,0.9666666666666667,1
