"","subj_idx","gender","year","rt","shape","condition","ACC"
"1",101,1,"1900",512,"生人","friend",1
"2",101,1,"1900",466,"朋友","friend",1
"3",101,1,"1900",255,"自我","friend",1
"4",101,1,"1900",491,"朋友","friend",1
"5",101,1,"1900",161,"生人","friend",1
"6",101,1,"1900",463,"自我","friend",1
"7",101,1,"1900",518,"朋友","friend",1
"8",101,1,"1900",529,"生人","friend",1
"9",101,1,"1900",587,"自我","friend",1
"10",101,1,"1900",505,"自我","friend",1
"11",101,1,"1900",560,"生人","friend",1
"12",101,1,"1900",386,"朋友","friend",1
"13",101,1,"1900",561,"朋友","friend",1
"14",101,1,"1900",76,"自我","friend",1
"15",101,1,"1900",218,"生人","friend",1
"16",101,1,"1900",496,"生人","friend",1
"17",101,1,"1900",385,"朋友","friend",1
"18",101,1,"1900",245,"自我","friend",1
"19",101,1,"1900",411,"生人","friend",1
"20",101,1,"1900",514,"朋友","friend",1
"21",101,1,"1900",234,"自我","friend",1
"22",101,1,"1900",481,"朋友","friend",1
"23",101,1,"1900",190,"生人","friend",1
"24",101,1,"1900",275,"自我","friend",1
"25",101,1,"1900",468,"生人","friend",1
"26",101,1,"1900",343,"自我","friend",1
"27",101,1,"1900",225,"朋友","friend",1
"28",101,1,"1900",298,"自我","friend",1
"29",101,1,"1900",494,"朋友","friend",1
"30",101,1,"1900",220,"生人","friend",1
"31",101,1,"1900",479,"朋友","friend",1
"32",101,1,"1900",296,"自我","friend",1
"33",101,1,"1900",327,"生人","friend",1
"34",101,1,"1900",468,"生人","friend",1
"35",101,1,"1900",384,"朋友","friend",1
"36",101,1,"1900",256,"自我","friend",1
"37",101,1,"1900",390,"朋友","friend",0
"38",101,1,"1900",148,"生人","friend",1
"39",101,1,"1900",172,"自我","friend",1
"40",101,1,"1900",826,"生人","friend",1
"41",101,1,"1900",386,"朋友","friend",1
"42",101,1,"1900",323,"自我","friend",1
"43",101,1,"1900",643,"自我","friend",1
"44",101,1,"1900",722,"生人","friend",1
"45",101,1,"1900",258,"朋友","friend",1
"46",101,1,"1900",597,"朋友","friend",1
"47",101,1,"1900",262,"自我","friend",1
"48",101,1,"1900",321,"生人","friend",1
"49",101,1,"1900",480,"生人","friend",1
"50",101,1,"1900",430,"自我","friend",1
"51",101,1,"1900",640,"朋友","friend",1
"52",101,1,"1900",371,"生人","friend",1
"53",101,1,"1900",477,"自我","friend",1
"54",101,1,"1900",544,"朋友","friend",1
"55",101,1,"1900",342,"生人","friend",1
"56",101,1,"1900",508,"自我","friend",1
"57",101,1,"1900",885,"朋友","friend",1
"58",101,1,"1900",408,"生人","friend",1
"59",101,1,"1900",562,"朋友","friend",0
"60",101,1,"1900",564,"自我","friend",1
"61",101,1,"1900",755,"生人","stranger",0
"62",101,1,"1900",475,"朋友","stranger",1
"63",101,1,"1900",239,"自我","stranger",1
"64",101,1,"1900",1240,"朋友","stranger",1
"65",101,1,"1900",1407,"自我","stranger",1
"66",101,1,"1900",381,"生人","stranger",1
"67",101,1,"1900",479,"自我","stranger",1
"68",101,1,"1900",395,"朋友","stranger",1
"69",101,1,"1900",209,"生人","stranger",1
"70",101,1,"1900",545,"生人","stranger",1
"71",101,1,"1900",352,"自我","stranger",1
"72",101,1,"1900",781,"朋友","stranger",1
"73",101,1,"1900",657,"朋友","stranger",1
"74",101,1,"1900",538,"自我","stranger",1
"75",101,1,"1900",291,"生人","stranger",1
"76",101,1,"1900",466,"生人","stranger",1
"77",101,1,"1900",335,"朋友","stranger",1
"78",101,1,"1900",377,"自我","stranger",1
"79",101,1,"1900",646,"朋友","stranger",1
"80",101,1,"1900",517,"自我","stranger",1
"81",101,1,"1900",348,"生人","stranger",1
"82",101,1,"1900",639,"生人","stranger",0
"83",101,1,"1900",638,"自我","stranger",1
"84",101,1,"1900",374,"朋友","stranger",1
"85",101,1,"1900",390,"自我","stranger",1
"86",101,1,"1900",488,"生人","stranger",1
"87",101,1,"1900",216,"朋友","stranger",1
"88",101,1,"1900",470,"朋友","stranger",1
"89",101,1,"1900",392,"自我","stranger",1
"90",101,1,"1900",358,"生人","stranger",1
"91",101,1,"1900",323,"朋友","stranger",1
"92",101,1,"1900",418,"自我","stranger",1
"93",101,1,"1900",359,"生人","stranger",1
"94",101,1,"1900",324,"自我","stranger",1
"95",101,1,"1900",528,"生人","stranger",1
"96",101,1,"1900",242,"朋友","stranger",1
"97",101,1,"1900",592,"生人","stranger",1
"98",101,1,"1900",294,"自我","stranger",1
"99",101,1,"1900",234,"朋友","stranger",1
"100",101,1,"1900",486,"生人","stranger",1
"101",101,1,"1900",253,"朋友","stranger",1
"102",101,1,"1900",360,"自我","stranger",1
"103",101,1,"1900",424,"自我","stranger",1
"104",101,1,"1900",330,"朋友","stranger",1
"105",101,1,"1900",373,"生人","stranger",1
"106",101,1,"1900",312,"生人","stranger",0
"107",101,1,"1900",273,"自我","stranger",1
"108",101,1,"1900",258,"朋友","stranger",1
"109",101,1,"1900",482,"自我","stranger",1
"110",101,1,"1900",597,"朋友","stranger",1
"111",101,1,"1900",340,"生人","stranger",1
"112",101,1,"1900",330,"朋友","stranger",1
"113",101,1,"1900",463,"自我","stranger",1
"114",101,1,"1900",492,"生人","stranger",1
"115",101,1,"1900",411,"生人","stranger",0
"116",101,1,"1900",475,"自我","stranger",1
"117",101,1,"1900",529,"朋友","stranger",1
"118",101,1,"1900",466,"朋友","stranger",1
"119",101,1,"1900",462,"生人","stranger",1
"120",101,1,"1900",544,"自我","stranger",1
"121",101,1,"1900",672,"生人","self",1
"122",101,1,"1900",371,"朋友","self",1
"123",101,1,"1900",337,"自我","self",1
"124",101,1,"1900",370,"朋友","self",1
"125",101,1,"1900",363,"生人","self",1
"126",101,1,"1900",243,"自我","self",1
"127",101,1,"1900",300,"生人","self",1
"128",101,1,"1900",411,"朋友","self",1
"129",101,1,"1900",226,"自我","self",1
"130",101,1,"1900",306,"自我","self",0
"131",101,1,"1900",303,"朋友","self",1
"132",101,1,"1900",265,"生人","self",1
"133",101,1,"1900",440,"朋友","self",1
"134",101,1,"1900",424,"生人","self",1
"135",101,1,"1900",255,"自我","self",1
"136",101,1,"1900",412,"朋友","self",1
"137",101,1,"1900",740,"生人","self",1
"138",101,1,"1900",390,"自我","self",1
"139",101,1,"1900",383,"生人","self",1
"140",101,1,"1900",493,"朋友","self",1
"141",101,1,"1900",314,"自我","self",1
"142",101,1,"1900",441,"生人","self",1
"143",101,1,"1900",434,"朋友","self",1
"144",101,1,"1900",277,"自我","self",1
"145",101,1,"1900",424,"朋友","self",1
"146",101,1,"1900",605,"自我","self",0
"147",101,1,"1900",309,"生人","self",1
"148",101,1,"1900",478,"朋友","self",1
"149",101,1,"1900",491,"自我","self",1
"150",101,1,"1900",427,"生人","self",1
"151",101,1,"1900",407,"生人","self",1
"152",101,1,"1900",457,"朋友","self",1
"153",101,1,"1900",474,"自我","self",1
"154",101,1,"1900",551,"自我","self",1
"155",101,1,"1900",425,"朋友","self",1
"156",101,1,"1900",447,"生人","self",1
"157",101,1,"1900",593,"自我","self",1
"158",101,1,"1900",262,"生人","self",1
"159",101,1,"1900",176,"朋友","self",1
"160",101,1,"1900",448,"朋友","self",1
"161",101,1,"1900",537,"自我","self",1
"162",101,1,"1900",290,"生人","self",1
"163",101,1,"1900",496,"朋友","self",1
"164",101,1,"1900",446,"生人","self",1
"165",101,1,"1900",556,"自我","self",1
"166",101,1,"1900",447,"生人","self",1
"167",101,1,"1900",475,"自我","self",1
"168",101,1,"1900",318,"朋友","self",1
"169",101,1,"1900",376,"朋友","self",1
"170",101,1,"1900",427,"生人","self",1
"171",101,1,"1900",360,"自我","self",0
"172",101,1,"1900",560,"自我","self",1
"173",101,1,"1900",443,"朋友","self",1
"174",101,1,"1900",480,"生人","self",1
"175",101,1,"1900",442,"自我","self",1
"176",101,1,"1900",510,"生人","self",1
"177",101,1,"1900",515,"朋友","self",1
"178",101,1,"1900",515,"生人","self",1
"179",101,1,"1900",527,"自我","self",1
"180",101,1,"1900",419,"朋友","self",1
